2026-04-22T00:26:59+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 00:27:59","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T02:59:30+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:00:30","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:00:41+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:00:42+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:01:42","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:02:00+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:02:01+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:03:01","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:03:52+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:03:57+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:04:57","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:06:52+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:07:10+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:07:38+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:08:38","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:07:39+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":59,"rate_limit_until":"2026-04-22 03:08:38","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:09:21+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:10:01+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:10:13+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:11:13","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:11:20+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:11:39+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:12:39","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:13:05+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:13:28+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:14:28","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:20:17+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:20:24+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:21:24","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:21:38+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:22:16+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:22:42+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:23:42","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:23:54+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:24:01+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:24:06+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:25:06","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:25:37+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:26:16+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:26:29+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:27:29","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:27:52+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:28:08+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:29:18+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:29:18+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:29:26+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:30:26","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:33:22+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:34:56+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:34:59+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:35:59","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:35:00+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":59,"rate_limit_until":"2026-04-22 03:35:59","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:37:32+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:41:36+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:41:40+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:42:40","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:43:25+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:44:18+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:45:39+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:46:11+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:46:21+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:47:21","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:50:35+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:51:40+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:52:01+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:57:23+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:58:29+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T03:58:51+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 03:59:51","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T04:01:44+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T04:02:55+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T06:49:09+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T06:50:37+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T06:50:41+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 06:51:41","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T06:52:48+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T06:52:49+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 06:53:49","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T06:53:32+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":17,"rate_limit_until":"2026-04-22 06:53:49","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T06:53:47+00:00 ERROR Failed to get access token CONTEXT: {"context":{"error":"Rate limited. Please try again in 2 seconds."}}
2026-04-22T06:53:47+00:00 ERROR Failed to get access token CONTEXT: {"context":{"error":"Rate limited. Please try again in 2 seconds."}}
2026-04-22T10:05:54+00:00 ERROR Rate limited by SePay API CONTEXT: {"context":{"retry_after":60,"rate_limit_until":"2026-04-22 10:06:54","site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
2026-04-22T13:05:07+00:00 ERROR Invalid refresh token response CONTEXT: {"context":{"response":{"error":"22 : The requested URL returned error: 401 Unauthorized"},"http_code":200,"site":"http://localhost/nguyen_thi_xuan_hoa/wordpress"}}
